player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Daichi Kamada,Crystal Palace,M,6,19.35483871,128,24,52.17391304,258,252,510,82.92682927,13,52,12,20,0,82,3,1,5,1,19,14,19,79,0,2,2.07332991,1.3912,26,0,0,0,0,17,16,1,0,0,,79,54.10958904,0,0,0,105,9,14,0,17,1488,1,0,0,0,0,0,0,0,0,1,186,10,0,6.85,0,0,0,0,0,0,0,0,0,0,9,7,7,4,11,55,49,29,59.18367347,14,20,31,92,53.80116959,46,336,279,615,16,0,871,20,2
Yéremy Pino,Crystal Palace,F,13,20,195,30,49.18032787,305,193,498,73.02052786,19,35.18518519,35,27,1,81,10,5,18,1,17,28,27,132,0,0,4.77278057,3.9438,25,0,5.263157895,2,3,20,17,3,1,1,,67,40.85365854,0,0,2,184,7,38,0,21,1739,8,0,0,0,0,0,0,0,0,0,323,15,0,6.833333333,0,2,0,0,0,0,0,869.5,0,4,21,17,10,10,16,43.24324324,30,17,56.66666667,38,37,65,86,39.44954128,61,454,228,682,38,1,1033,21,4
Will Hughes,Crystal Palace,M,11,28.94736842,146,19,44.18604651,288,187,475,81.7555938,17,43.58974359,22,27,0,56,1,1,7,2,25,13,10,67,0,1,1.66657375,1.0906,19,0,0,0,0,13,12,1,0,0,,52,53.60824742,0,0,0,106,11,19,0,15,1304,0,0,0,0,1,0,0,0,0,0,159,0,0,6.788461538,0,0,0,0,0,0,0,0,0,0,10,7,10,0,10,66.66666667,24,14,58.33333333,19,15,38,69,50.73529412,43,368,213,581,17,0,806,19,7
Tyrick Mitchell,Crystal Palace,M,18,21.17647059,186,30,25.86206897,339,305,644,72.35955056,18,33.96226415,35,30,1,141,2,2,3,11,81,23,17,115,0,1,1.61687229,1.0925,19,0,7.692307692,1,2,35,31,4,1,0,,115,58.97435897,0,0,1,246,28,22,0,30,2669,5,0,0,0,0,0,0,0,0,0,431,4,0,6.77,0,1,0,0,0,0,0,2669,0,0,9,4,5,5,14,37.83783784,80,49,61.25,22,37,85,133,53.62903226,116,495,395,890,13,1,1631,21,5
Jefferson Lerma,Crystal Palace,M,3,33.33333333,101,37,47.43589744,240,280,520,79.51070336,52,59.09090909,36,24,2,71,2,2,4,5,48,7,11,77,0,1,0.94192313,1.0367,19,0,0,0,2,15,13,2,0,0,,36,46.75324675,0,0,0,134,16,11,0,13,1254,0,1,1,0,0,0,0,0,0,0,192,1,0,6.752173913,0,0,0,0,0,0,0,0,0,0,8,6,4,6,2,33.33333333,20,13,65,10,6,9,88,53.33333333,78,339,315,654,14,0,895,14,6
Jean-Philippe Mateta,Crystal Palace,F,4,50,57,11,61.11111111,110,65,175,62.72401434,58,41.42857143,82,24,0,52,2,17,7,5,41,36,9,157,0,1,1.24703171,12.0786,17,0,14.54545455,8,8,23,21,2,8,0,,37,33.03571429,3,0,1,104,5,6,2,23,1944,16,0,0,3,0,100,0,3,0,1,219,12,0,6.7125,0,3,0,0,0,0,0,243,0,0,45,10,22,26,14,46.66666667,8,4,50,6,30,8,95,37.6984127,18,203,76,279,55,1,595,15,2
Chadi Riad,Crystal Palace,D,0,0,24,11,47.82608696,89,143,232,87.87878788,11,52.38095238,10,6,1,12,1,1,0,0,12,2,4,20,0,1,0.05554364,0.1062,4,0,0,0,1,3,3,0,0,0,,7,41.17647059,0,0,0,32,1,1,0,3,314,0,0,0,0,0,0,0,0,0,0,42,0,0,6.65,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,100,4,2,50,1,1,6,18,47.36842105,23,109,155,264,2,0,311,2,2
Edward Nketiah,Crystal Palace,F,0,0,20,1,50,35,35,70,80.45977011,8,26.66666667,22,12,0,17,1,1,6,0,10,11,3,53,0,0,0.47610932,1.77,7,0,13.33333333,2,2,12,10,2,2,0,,20,39.21568627,0,0,0,17,2,7,1,2,416,3,0,0,0,0,0,0,0,0,0,68,1,0,6.625,0,1,0,0,0,0,0,208,0,0,13,2,3,6,5,31.25,8,6,75,7,16,1,28,34.56790123,2,46,41,87,15,0,216,7,2
Brennan Johnson,Crystal Palace,F,12,23.52941176,70,8,22.85714286,118,65,183,66.06498195,12,54.54545455,10,27,1,37,1,1,5,2,22,8,10,53,0,1,0.91170525,1.8356,13,0,11.76470588,2,3,13,13,0,2,0,,34,44.15584416,0,0,0,94,3,14,0,13,1261,11,0,0,0,0,0,0,0,0,0,183,8,0,6.618518519,0,2,0,0,0,0,0,630.5,0,1,12,5,7,5,6,30,20,14,70,14,20,51,46,46.46464646,35,189,88,277,17,0,505,9,5
Nathaniel Clyne,Crystal Palace,D,2,13.33333333,35,3,27.27272727,71,49,120,77.41935484,2,25,6,8,1,16,2,0,1,0,19,1,3,17,0,0,0.67362709,0.4306,4,0,0,0,1,9,7,2,0,0,,19,63.33333333,0,0,0,35,5,3,0,6,506,0,0,0,0,0,0,0,0,0,0,62,3,0,6.6125,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,57.14285714,14,9,64.28571429,3,7,15,21,55.26315789,11,94,61,155,3,0,260,1,1
